coord,list
"{'lon': 28.1858, 'lat': -25.8589}","[{'main': {'aqi': 4}, 'components': {'co': 767.71, 'no': 0, 'no2': 20.05, 'o3': 51.5, 'so2': 24.8, 'pm2_5': 72.06, 'pm10': 91.53, 'nh3': 6.02}, 'dt': 1689707319}]"
"{'lon': 28.1378, 'lat': -25.9636}","[{'main': {'aqi': 4}, 'components': {'co': 767.71, 'no': 0, 'no2': 20.05, 'o3': 51.5, 'so2': 24.8, 'pm2_5': 72.06, 'pm10': 91.53, 'nh3': 6.02}, 'dt': 1689707320}]"
"{'lon': 28.0589, 'lat': -26.0545}","[{'main': {'aqi': 4}, 'components': {'co': 767.71, 'no': 0, 'no2': 31.87, 'o3': 51.5, 'so2': 26.46, 'pm2_5': 69.45, 'pm10': 99.52, 'nh3': 6.14}, 'dt': 1689707325}]"
"{'lon': 28.1878, 'lat': -25.7449}","[{'main': {'aqi': 5}, 'components': {'co': 988.01, 'no': 0, 'no2': 21.94, 'o3': 42.92, 'so2': 36.24, 'pm2_5': 87.31, 'pm10': 105.79, 'nh3': 7.09}, 'dt': 1689707926}]"
"{'lon': 28.0436, 'lat': -26.2023}","[{'main': {'aqi': 5}, 'components': {'co': 2990.72, 'no': 5.53, 'no2': 82.25, 'o3': 3.89, 'so2': 117.3, 'pm2_5': 228.64, 'pm10': 281.65, 'nh3': 30.15}, 'dt': 1689707927}]"
"{'lon': 28.1858, 'lat': -25.8589}","[{'main': {'aqi': 4}, 'components': {'co': 767.71, 'no': 0, 'no2': 20.05, 'o3': 51.5, 'so2': 24.8, 'pm2_5': 72.06, 'pm10': 91.53, 'nh3': 6.02}, 'dt': 1689707928}]"
"{'lon': 28.1378, 'lat': -25.9636}","[{'main': {'aqi': 4}, 'components': {'co': 767.71, 'no': 0, 'no2': 20.05, 'o3': 51.5, 'so2': 24.8, 'pm2_5': 72.06, 'pm10': 91.53, 'nh3': 6.02}, 'dt': 1689707929}]"
"{'lon': 28.0589, 'lat': -26.0545}","[{'main': {'aqi': 4}, 'components': {'co': 767.71, 'no': 0, 'no2': 31.87, 'o3': 51.5, 'so2': 26.46, 'pm2_5': 69.45, 'pm10': 99.52, 'nh3': 6.14}, 'dt': 1689707930}]"
"{'lon': 28.1878, 'lat': -25.7449}","[{'main': {'aqi': 5}, 'components': {'co': 988.01, 'no': 0, 'no2': 21.94, 'o3': 42.92, 'so2': 36.24, 'pm2_5': 87.31, 'pm10': 105.79, 'nh3': 7.09}, 'dt': 1689708531}]"
"{'lon': 28.0436, 'lat': -26.2023}","[{'main': {'aqi': 5}, 'components': {'co': 2990.72, 'no': 5.53, 'no2': 82.25, 'o3': 3.89, 'so2': 117.3, 'pm2_5': 228.64, 'pm10': 281.65, 'nh3': 30.15}, 'dt': 1689708532}]"
"{'lon': 28.1858, 'lat': -25.8589}","[{'main': {'aqi': 4}, 'components': {'co': 767.71, 'no': 0, 'no2': 20.05, 'o3': 51.5, 'so2': 24.8, 'pm2_5': 72.06, 'pm10': 91.53, 'nh3': 6.02}, 'dt': 1689708532}]"
"{'lon': 28.1378, 'lat': -25.9636}","[{'main': {'aqi': 4}, 'components': {'co': 767.71, 'no': 0, 'no2': 20.05, 'o3': 51.5, 'so2': 24.8, 'pm2_5': 72.06, 'pm10': 91.53, 'nh3': 6.02}, 'dt': 1689708534}]"
"{'lon': 28.0589, 'lat': -26.0545}","[{'main': {'aqi': 4}, 'components': {'co': 767.71, 'no': 0, 'no2': 31.87, 'o3': 51.5, 'so2': 26.46, 'pm2_5': 69.45, 'pm10': 99.52, 'nh3': 6.14}, 'dt': 1689708535}]"
"{'lon': 28.1878, 'lat': -25.7449}","[{'main': {'aqi': 5}, 'components': {'co': 1148.22, 'no': 0.01, 'no2': 26.73, 'o3': 33.98, 'so2': 39.1, 'pm2_5': 98.79, 'pm10': 119.82, 'nh3': 8.36}, 'dt': 1689709110}]"
"{'lon': 28.0436, 'lat': -26.2023}","[{'main': {'aqi': 5}, 'components': {'co': 3578.19, 'no': 14.08, 'no2': 81.57, 'o3': 0.59, 'so2': 123.98, 'pm2_5': 273.04, 'pm10': 332.41, 'nh3': 34.45}, 'dt': 1689709111}]"
"{'lon': 28.1858, 'lat': -25.8589}","[{'main': {'aqi': 5}, 'components': {'co': 814.44, 'no': 0, 'no2': 23.99, 'o3': 38.62, 'so2': 24.56, 'pm2_5': 76.41, 'pm10': 99.31, 'nh3': 6.97}, 'dt': 1689709113}]"
"{'lon': 28.1378, 'lat': -25.9636}","[{'main': {'aqi': 5}, 'components': {'co': 814.44, 'no': 0, 'no2': 23.99, 'o3': 38.62, 'so2': 24.56, 'pm2_5': 76.41, 'pm10': 99.31, 'nh3': 6.97}, 'dt': 1689709114}]"
"{'lon': 28.0589, 'lat': -26.0545}","[{'main': {'aqi': 5}, 'components': {'co': 974.66, 'no': 0.03, 'no2': 40.44, 'o3': 33.26, 'so2': 30.52, 'pm2_5': 82.46, 'pm10': 122.41, 'nh3': 8.11}, 'dt': 1689709115}]"
