description,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds,date,country,city
clear sky,295.57,294.55,294.84,295.79,1028,26,10000.0,1.54,30,0,2023-07-17 16:19:34 UTC,ZA,Pretoria
clear sky,295.31,294.26,294.84,295.79,1028,26,10000.0,1.54,30,0,2023-07-17 16:28:58 UTC,ZA,Pretoria
clear sky,295.31,294.26,294.84,295.79,1028,26,10000.0,1.54,30,0,2023-07-17 16:28:58 UTC,ZA,Pretoria
clear sky,295.11,294.07,294.58,295.55,1028,27,10000.0,1.54,30,0,2023-07-17 16:50:34 UTC,ZA,Pretoria
clear sky,293.96,292.85,293.26,295.23,1025,29,10000.0,0.24,58,0,2023-07-17 17:03:36 UTC,ZA,Pretoria
clear sky,294.0,292.9,292.71,295.23,1025,29,10000.0,0.24,58,0,2023-07-17 17:09:59 UTC,ZA,Pretoria
clear sky,293.89,292.83,293.55,295.37,1028,31,10000.0,1.54,10,0,2023-07-17 17:20:40 UTC,ZA,Pretoria
clear sky,292.88,291.69,291.6,295.37,1028,30,10000.0,1.54,10,0,2023-07-17 17:30:24 UTC,ZA,Pretoria
clear sky,292.82,291.63,291.6,294.32,1028,30,10000.0,1.54,10,0,2023-07-17 17:40:59 UTC,ZA,Pretoria
clear sky,292.2,291.0,291.04,294.32,1028,32,10000.0,1.54,10,0,2023-07-17 17:50:39 UTC,ZA,Pretoria
clear sky,290.78,289.54,290.13,293.14,1025,36,10000.0,0.27,45,0,2023-07-17 18:00:17 UTC,ZA,Pretoria
clear sky,290.16,288.86,289.59,291.48,1025,36,10000.0,0.27,45,0,2023-07-17 18:10:15 UTC,ZA,Pretoria
clear sky,290.16,288.86,289.59,291.48,1025,36,10000.0,0.27,45,0,2023-07-17 18:10:15 UTC,ZA,Pretoria
clear sky,289.91,288.61,288.55,292.41,1028,37,10000.0,1.54,350,0,2023-07-17 18:24:26 UTC,ZA,Pretoria
clear sky,289.36,288.03,288.46,291.32,1028,38,10000.0,1.54,350,0,2023-07-17 18:32:15 UTC,ZA,Pretoria
clear sky,289.25,287.93,287.91,291.32,1028,39,10000.0,1.54,350,0,2023-07-17 18:44:27 UTC,ZA,Pretoria
clear sky,289.25,287.93,287.91,291.32,1028,39,10000.0,1.54,350,0,2023-07-17 18:44:27 UTC,ZA,Pretoria
clear sky,288.18,286.89,287.35,290.19,1026,44,10000.0,0.22,342,0,2023-07-17 19:00:16 UTC,ZA,Pretoria
clear sky,287.5,286.19,285.55,290.32,1029,46,10000.0,1.03,210,0,2023-07-17 19:14:08 UTC,ZA,Pretoria
clear sky,287.27,285.94,285.55,290.32,1029,46,10000.0,1.03,210,0,2023-07-17 19:24:30 UTC,ZA,Pretoria
clear sky,287.27,285.94,285.55,290.32,1029,46,10000.0,1.03,210,0,2023-07-17 19:24:30 UTC,ZA,Pretoria
clear sky,287.22,285.91,285.55,290.32,1029,47,10000.0,1.03,210,0,2023-07-17 19:33:46 UTC,ZA,Pretoria
