aqi,no,no2,o3,so2,pm2_5,pm10,nh3,date,lat,lon,city
4,2.52,13.54,127.32,50.55,52.46,73.24,5.45,2023-07-19 12:23:01 UTC,-26.2023,28.0436,"Inner Court, 92, Eloff Street, Newtown, Johannesburg Ward 60, Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa"
4,0.92,6.68,144.48,22.41,45.01,60.4,3.01,2023-07-19 12:23:02 UTC,-25.8589,28.1858,"Centurion Mall, 1269, Gordon Hood Avenue, Tshwane Ward 57, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa"
4,0.92,6.68,144.48,22.41,45.01,60.4,3.01,2023-07-19 12:23:03 UTC,-25.9636,28.1378,"Old Pretoria Main Road, Randjespark, Johannesburg Ward 92, City of Johannesburg Metropolitan Municipality, Gauteng, 1683, South Africa"
4,1.84,12.17,145.91,42.44,62.26,81.09,4.62,2023-07-19 12:23:04 UTC,-26.0545,28.0589,"10th Avenue, Rivonia, Johannesburg Ward 106, Sandton, City of Johannesburg Metropolitan Municipality, Gauteng, 2010, South Africa"
3,0.2,1.26,114.44,9.42,21.47,28.55,1.3,2023-07-19 12:33:05 UTC,-25.7449,28.1878,"Gauteng Division of the High Court, Paul Kruger Street, Tshwane Ward 58, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0001, South Africa"
3,1.33,7.63,127.32,33.38,36.37,51.38,4.24,2023-07-19 12:33:05 UTC,-26.2023,28.0436,"Inner Court, 92, Eloff Street, Newtown, Johannesburg Ward 60, Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa"
3,0.32,2.25,133.04,13.47,29.69,40.22,2.19,2023-07-19 12:33:06 UTC,-25.8589,28.1858,"Centurion Mall, 1269, Gordon Hood Avenue, Tshwane Ward 57, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa"
3,0.32,2.25,133.04,13.47,29.69,40.22,2.19,2023-07-19 12:33:07 UTC,-25.9636,28.1378,"Old Pretoria Main Road, Randjespark, Johannesburg Ward 92, City of Johannesburg Metropolitan Municipality, Gauteng, 1683, South Africa"
4,0.77,5.14,141.62,27.42,37.87,52.4,3.45,2023-07-19 12:33:08 UTC,-26.0545,28.0589,"10th Avenue, Rivonia, Johannesburg Ward 106, Sandton, City of Johannesburg Metropolitan Municipality, Gauteng, 2010, South Africa"
3,0.2,1.26,114.44,9.42,21.47,28.55,1.3,2023-07-19 12:43:09 UTC,-25.7449,28.1878,"Gauteng Division of the High Court, Paul Kruger Street, Tshwane Ward 58, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0001, South Africa"
3,1.33,7.63,127.32,33.38,36.37,51.38,4.24,2023-07-19 12:43:10 UTC,-26.2023,28.0436,"Inner Court, 92, Eloff Street, Newtown, Johannesburg Ward 60, Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa"
3,0.32,2.25,133.04,13.47,29.69,40.22,2.19,2023-07-19 12:43:11 UTC,-25.8589,28.1858,"Centurion Mall, 1269, Gordon Hood Avenue, Tshwane Ward 57, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa"
3,0.32,2.25,133.04,13.47,29.69,40.22,2.19,2023-07-19 12:43:12 UTC,-25.9636,28.1378,"Old Pretoria Main Road, Randjespark, Johannesburg Ward 92, City of Johannesburg Metropolitan Municipality, Gauteng, 1683, South Africa"
4,0.77,5.14,141.62,27.42,37.87,52.4,3.45,2023-07-19 12:43:13 UTC,-26.0545,28.0589,"10th Avenue, Rivonia, Johannesburg Ward 106, Sandton, City of Johannesburg Metropolitan Municipality, Gauteng, 2010, South Africa"
3,0.2,1.26,114.44,9.42,21.47,28.55,1.3,2023-07-19 12:53:14 UTC,-25.7449,28.1878,"Gauteng Division of the High Court, Paul Kruger Street, Tshwane Ward 58, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0001, South Africa"
3,1.33,7.63,127.32,33.38,36.37,51.38,4.24,2023-07-19 12:53:15 UTC,-26.2023,28.0436,"Inner Court, 92, Eloff Street, Newtown, Johannesburg Ward 60, Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa"
3,0.32,2.25,133.04,13.47,29.69,40.22,2.19,2023-07-19 12:53:16 UTC,-25.8589,28.1858,"Centurion Mall, 1269, Gordon Hood Avenue, Tshwane Ward 57, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa"
3,0.32,2.25,133.04,13.47,29.69,40.22,2.19,2023-07-19 12:53:16 UTC,-25.9636,28.1378,"Old Pretoria Main Road, Randjespark, Johannesburg Ward 92, City of Johannesburg Metropolitan Municipality, Gauteng, 1683, South Africa"
4,0.77,5.14,141.62,27.42,37.87,52.4,3.45,2023-07-19 12:53:17 UTC,-26.0545,28.0589,"10th Avenue, Rivonia, Johannesburg Ward 106, Sandton, City of Johannesburg Metropolitan Municipality, Gauteng, 2010, South Africa"
3,0.2,1.26,114.44,9.42,21.47,28.55,1.3,2023-07-19 13:03:18 UTC,-25.7449,28.1878,"Gauteng Division of the High Court, Paul Kruger Street, Tshwane Ward 58, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0001, South Africa"
3,1.33,7.63,127.32,33.38,36.37,51.38,4.24,2023-07-19 13:03:19 UTC,-26.2023,28.0436,"Inner Court, 92, Eloff Street, Newtown, Johannesburg Ward 60, Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa"
3,0.32,2.25,133.04,13.47,29.69,40.22,2.19,2023-07-19 13:03:20 UTC,-25.8589,28.1858,"Centurion Mall, 1269, Gordon Hood Avenue, Tshwane Ward 57, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa"
3,0.32,2.25,133.04,13.47,29.69,40.22,2.19,2023-07-19 13:03:21 UTC,-25.9636,28.1378,"Old Pretoria Main Road, Randjespark, Johannesburg Ward 92, City of Johannesburg Metropolitan Municipality, Gauteng, 1683, South Africa"
4,0.77,5.14,141.62,27.42,37.87,52.4,3.45,2023-07-19 13:03:22 UTC,-26.0545,28.0589,"10th Avenue, Rivonia, Johannesburg Ward 106, Sandton, City of Johannesburg Metropolitan Municipality, Gauteng, 2010, South Africa"
3,0.2,1.26,114.44,9.42,21.47,28.55,1.3,2023-07-19 13:13:23 UTC,-25.7449,28.1878,"Gauteng Division of the High Court, Paul Kruger Street, Tshwane Ward 58, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0001, South Africa"
3,1.33,7.63,127.32,33.38,36.37,51.38,4.24,2023-07-19 13:13:24 UTC,-26.2023,28.0436,"Inner Court, 92, Eloff Street, Newtown, Johannesburg Ward 60, Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa"
3,0.32,2.25,133.04,13.47,29.69,40.22,2.19,2023-07-19 13:13:25 UTC,-25.8589,28.1858,"Centurion Mall, 1269, Gordon Hood Avenue, Tshwane Ward 57, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa"
3,0.32,2.25,133.04,13.47,29.69,40.22,2.19,2023-07-19 13:13:25 UTC,-25.9636,28.1378,"Old Pretoria Main Road, Randjespark, Johannesburg Ward 92, City of Johannesburg Metropolitan Municipality, Gauteng, 1683, South Africa"
4,0.77,5.14,141.62,27.42,37.87,52.4,3.45,2023-07-19 13:13:26 UTC,-26.0545,28.0589,"10th Avenue, Rivonia, Johannesburg Ward 106, Sandton, City of Johannesburg Metropolitan Municipality, Gauteng, 2010, South Africa"
3,0.2,1.26,114.44,9.42,21.47,28.55,1.3,2023-07-19 13:23:27 UTC,-25.7449,28.1878,"Gauteng Division of the High Court, Paul Kruger Street, Tshwane Ward 58, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0001, South Africa"
3,1.33,7.63,127.32,33.38,36.37,51.38,4.24,2023-07-19 13:23:28 UTC,-26.2023,28.0436,"Inner Court, 92, Eloff Street, Newtown, Johannesburg Ward 60, Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa"
3,0.32,2.25,133.04,13.47,29.69,40.22,2.19,2023-07-19 13:23:29 UTC,-25.8589,28.1858,"Centurion Mall, 1269, Gordon Hood Avenue, Tshwane Ward 57, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa"
3,0.32,2.25,133.04,13.47,29.69,40.22,2.19,2023-07-19 13:23:30 UTC,-25.9636,28.1378,"Old Pretoria Main Road, Randjespark, Johannesburg Ward 92, City of Johannesburg Metropolitan Municipality, Gauteng, 1683, South Africa"
4,0.77,5.14,141.62,27.42,37.87,52.4,3.45,2023-07-19 13:23:31 UTC,-26.0545,28.0589,"10th Avenue, Rivonia, Johannesburg Ward 106, Sandton, City of Johannesburg Metropolitan Municipality, Gauteng, 2010, South Africa"
3,0.41,2.61,101.57,10.61,21.38,28.96,1.77,2023-07-19 15:11:05 UTC,-25.7449,28.1878,"Gauteng Division of the High Court, Paul Kruger Street, Tshwane Ward 58, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0001, South Africa"
4,2.96,19.02,123.02,51.98,54.13,74.02,8.23,2023-07-19 15:11:06 UTC,-26.2023,28.0436,"Inner Court, 92, Eloff Street, Newtown, Johannesburg Ward 60, Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa"
3,0.49,3.64,118.73,12.52,27.64,39.06,2.34,2023-07-19 15:11:07 UTC,-25.8589,28.1858,"Centurion Mall, 1269, Gordon Hood Avenue, Tshwane Ward 57, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa"
3,0.49,3.64,118.73,12.52,27.64,39.06,2.34,2023-07-19 15:11:08 UTC,-25.9636,28.1378,"Old Pretoria Main Road, Randjespark, Johannesburg Ward 92, City of Johannesburg Metropolitan Municipality, Gauteng, 1683, South Africa"
3,1.55,11.65,138.76,32.9,39.23,57.43,4.56,2023-07-19 15:11:09 UTC,-26.0545,28.0589,"10th Avenue, Rivonia, Johannesburg Ward 106, Sandton, City of Johannesburg Metropolitan Municipality, Gauteng, 2010, South Africa"
3,0.41,2.61,101.57,10.61,21.38,28.96,1.77,2023-07-19 15:21:10 UTC,-25.7449,28.1878,"Gauteng Division of the High Court, Paul Kruger Street, Tshwane Ward 58, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0001, South Africa"
4,2.96,19.02,123.02,51.98,54.13,74.02,8.23,2023-07-19 15:21:11 UTC,-26.2023,28.0436,"Inner Court, 92, Eloff Street, Newtown, Johannesburg Ward 60, Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa"
3,0.49,3.64,118.73,12.52,27.64,39.06,2.34,2023-07-19 15:21:12 UTC,-25.8589,28.1858,"Centurion Mall, 1269, Gordon Hood Avenue, Tshwane Ward 57, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa"
3,0.49,3.64,118.73,12.52,27.64,39.06,2.34,2023-07-19 15:21:13 UTC,-25.9636,28.1378,"Old Pretoria Main Road, Randjespark, Johannesburg Ward 92, City of Johannesburg Metropolitan Municipality, Gauteng, 1683, South Africa"
3,1.55,11.65,138.76,32.9,39.23,57.43,4.56,2023-07-19 15:21:14 UTC,-26.0545,28.0589,"10th Avenue, Rivonia, Johannesburg Ward 106, Sandton, City of Johannesburg Metropolitan Municipality, Gauteng, 2010, South Africa"
3,0.66,4.76,85.12,14.54,25.72,34.1,2.57,2023-07-19 15:31:15 UTC,-25.7449,28.1878,"Gauteng Division of the High Court, Paul Kruger Street, Tshwane Ward 58, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0001, South Africa"
5,5.53,40.78,100.14,87.74,90.63,120.53,14.31,2023-07-19 15:31:16 UTC,-26.2023,28.0436,"Inner Court, 92, Eloff Street, Newtown, Johannesburg Ward 60, Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa"
3,0.92,7.63,95.84,14.19,28.29,41.57,3.04,2023-07-19 15:31:17 UTC,-25.8589,28.1858,"Centurion Mall, 1269, Gordon Hood Avenue, Tshwane Ward 57, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa"
3,0.92,7.63,95.84,14.19,28.29,41.57,3.04,2023-07-19 15:31:18 UTC,-25.9636,28.1378,"Old Pretoria Main Road, Randjespark, Johannesburg Ward 92, City of Johannesburg Metropolitan Municipality, Gauteng, 1683, South Africa"
4,3.24,30.16,117.3,51.02,59.22,85.98,7.41,2023-07-19 15:31:19 UTC,-26.0545,28.0589,"10th Avenue, Rivonia, Johannesburg Ward 106, Sandton, City of Johannesburg Metropolitan Municipality, Gauteng, 2010, South Africa"
3,0.66,4.76,85.12,14.54,25.72,34.1,2.57,2023-07-19 15:41:20 UTC,-25.7449,28.1878,"Gauteng Division of the High Court, Paul Kruger Street, Tshwane Ward 58, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0001, South Africa"
5,5.53,40.78,100.14,87.74,90.63,120.53,14.31,2023-07-19 15:41:20 UTC,-26.2023,28.0436,"Inner Court, 92, Eloff Street, Newtown, Johannesburg Ward 60, Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa"
3,0.92,7.63,95.84,14.19,28.29,41.57,3.04,2023-07-19 15:41:21 UTC,-25.8589,28.1858,"Centurion Mall, 1269, Gordon Hood Avenue, Tshwane Ward 57, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0051, South Africa"
3,0.92,7.63,95.84,14.19,28.29,41.57,3.04,2023-07-19 15:41:22 UTC,-25.9636,28.1378,"Old Pretoria Main Road, Randjespark, Johannesburg Ward 92, City of Johannesburg Metropolitan Municipality, Gauteng, 1683, South Africa"
4,3.24,30.16,117.3,51.02,59.22,85.98,7.41,2023-07-19 15:41:23 UTC,-26.0545,28.0589,"10th Avenue, Rivonia, Johannesburg Ward 106, Sandton, City of Johannesburg Metropolitan Municipality, Gauteng, 2010, South Africa"
3,0.66,4.76,85.12,14.54,25.72,34.1,2.57,2023-07-19 15:51:24 UTC,-25.7449,28.1878,"Gauteng Division of the High Court, Paul Kruger Street, Tshwane Ward 58, Pretoria, City of Tshwane Metropolitan Municipality, Gauteng, 0001, South Africa"
